team,year,ap_rank,kenpom_rank
Connecticut,2022,98,
South Florida,2022,99,
Georgetown,2022,100,
Pittsburgh,2022,101,
UCLA,2022,102,
Georgia Southern,2022,103,
Utah Valley,2022,104,
Bowling Green,2022,105,
Saint Louis,2022,106,
SMU,2022,107,
Akron,2022,108,
Utah,2022,109,
Jacksonville St.,2022,110,
Grand Canyon,2022,111,
Stanford,2022,112,
Old Dominion,2022,113,
Harvard,2022,114,
Georgia Tech,2022,115,
Western Kentucky,2022,116,
Wright St.,2022,117,
DePaul,2022,118,
Tulsa,2022,119,
Southern Miss,2022,120,
St. Bonaventure,2022,121,
Radford,2022,122,
Charleston,2022,123,
Georgia St.,2022,124,
San Diego St.,2022,125,
Colgate,2022,126,
Boston College,2022,127,
Austin Peay,2022,128,
Central Michigan,2022,129,
Penn,2022,130,
Loyola Chicago,2022,131,
Georgia,2022,132,
Ball St.,2022,133,
Loyola Marymount,2022,134,
Drake,2022,135,
Northern Illinois,2022,136,
Montana,2022,137,
Texas St.,2022,138,
Boise St.,2022,139,
Louisiana Monroe,2022,140,
Louisiana Tech,2022,141,
Rhode Island,2022,142,
Kent St.,2022,143,
Samford,2022,144,
Bucknell,2022,145,
Southern Illinois,2022,146,
UAB,2022,147,
Miami OH,2022,148,
UTSA,2022,149,
UT Arlington,2022,150,
Pepperdine,2022,151,
Abilene Christian,2022,152,
Brown,2022,153,
Coastal Carolina,2022,154,
Vanderbilt,2022,155,
George Mason,2022,156,
Marshall,2022,157,
North Texas,2022,158,
Eastern Michigan,2022,159,
Charleston Southern,2022,160,
Bradley,2022,161,
Florida Atlantic,2022,162,
Gardner Webb,2022,163,
Nebraska Omaha,2022,164,
UNLV,2022,165,
Stony Brook,2022,166,
North Florida,2022,167,
Winthrop,2022,168,
Lehigh,2022,169,
Hampton,2022,170,
Missouri St.,2022,171,
UC Santa Barbara,2022,172,
Duquesne,2022,173,
Wake Forest,2022,174,
Princeton,2022,175,
Sam Houston St.,2022,176,
Northern Iowa,2022,177,
Louisiana,2022,178,
Presbyterian,2022,179,
Colorado St.,2022,180,
Campbell,2022,181,
UT Rio Grande Valley,2022,182,
NJIT,2022,183,
Ohio,2022,184,
Green Bay,2022,185,
Santa Clara,2022,186,
Oakland,2022,187,
New Mexico,2022,188,
Saint Joseph's,2022,189,
Seattle,2022,190,
IUPUI,2022,191,
Purdue Fort Wayne,2022,192,
Northern Colorado,2022,193,
Hartford,2022,194,
Texas Southern,2022,195,
Illinois Chicago,2022,196,
Cal Baptist,2022,197,
Iona,2022,198,
Mercer,2022,199,
American,2022,200,
Hawaii,2022,201,
North Dakota St.,2022,202,
Richmond,2022,203,
FIU,2022,204,
Illinois St.,2022,205,
Appalachian St.,2022,206,
Washington St.,2022,207,
Indiana St.,2022,208,
Prairie View A&M,2022,209,
Cal St. Fullerton,2022,210,
Fairleigh Dickinson,2022,211,
Rider,2022,212,
Florida Gulf Coast,2022,213,
South Alabama,2022,214,
Columbia,2022,215,
Pacific,2022,216,
Lamar,2022,217,
Dartmouth,2022,218,
William & Mary,2022,219,
Valparaiso,2022,220,
Cornell,2022,221,
Little Rock,2022,222,
High Point,2022,223,
Weber St.,2022,224,
Long Beach St.,2022,225,
Cal St. Bakersfield,2022,226,
Evansville,2022,227,
La Salle,2022,228,
South Dakota,2022,229,
UMBC,2022,230,
Boston University,2022,231,
Southeastern Louisiana,2022,232,
