player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander_2018
Miles Bridges,LA Clippers,Michigan State,2018,1,12,12,Miles Bridges,Miles Bridges_2018
Jerome Robinson,LA Clippers,Boston College,2018,1,13,13,Jerome Robinson,Jerome Robinson_2018
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14,Michael Porter Jr,Michael Porter Jr_2018
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15,Troy Brown Jr,Troy Brown Jr_2018
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16,Zhaire Smith,Zhaire Smith_2018
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17,Donte Divincenzo,Donte Divincenzo_2018
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18,Lonnie Walker Iv,Lonnie Walker Iv_2018
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19,Kevin Huerter,Kevin Huerter_2018
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20,Josh Okogie,Josh Okogie_2018
Grayson Allen,Utah Jazz,Duke,2018,1,21,21,Grayson Allen,Grayson Allen_2018
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22,Chandler Hutchison,Chandler Hutchison_2018
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23,Aaron Holiday,Aaron Holiday_2018
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24,Anfernee Simons,Anfernee Simons_2018
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25,Moritz Wagner,Moritz Wagner_2018
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26,Landry Shamet,Landry Shamet_2018
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27,Robert Williams Iii,Robert Williams Iii_2018
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28,Jacob Evans,Jacob Evans_2018
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29,Dzanan Musa,Dzanan Musa_2018
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30,Omari Spellman,Omari Spellman_2018
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31,Elie Okobo,Elie Okobo_2018
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32,Jevon Carter,Jevon Carter_2018
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33,Jalen Brunson,Jalen Brunson_2018
Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34,Devonte' Graham,Devonte' Graham_2018
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35,Melvin Frazier Jr,Melvin Frazier Jr_2018
Mitchell Robinson,New York Knicks,,2018,2,6,36,Mitchell Robinson,Mitchell Robinson_2018
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37,Gary Trent Jr,Gary Trent Jr_2018
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38,Khyri Thomas,Khyri Thomas_2018
Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39,Isaac Bonga,Isaac Bonga_2018
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40,Rodions Kurucs,Rodions Kurucs_2018
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41,Jarred Vanderbilt,Jarred Vanderbilt_2018
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42,Bruce Brown,Bruce Brown_2018
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43,Justin Jackson,Justin Jackson_2018
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44,Issuf Sanon,Issuf Sanon_2018
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45,Hamidou Diallo,Hamidou Diallo_2018
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46,De'Anthony Melton,De'Anthony Melton_2018
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47,Svi Mykhailiuk,Svi Mykhailiuk_2018
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48,Keita Bates-Diop,Keita Bates-Diop_2018
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49,Chimezie Metu,Chimezie Metu_2018
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50,Alize Johnson,Alize Johnson_2018
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51,Tony Carr,Tony Carr_2018
Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52,Vincent Edwards,Vincent Edwards_2018
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53,Devon Hall,Devon Hall_2018
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54,Shake Milton,Shake Milton_2018
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55,Arnoldas Kulboka,Arnoldas Kulboka_2018
Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56,Ray Spalding,Ray Spalding_2018
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57,Kevin Hervey,Kevin Hervey_2018
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58,Thomas Welsh,Thomas Welsh_2018
George King,Phoenix Suns,Colorado,2018,2,29,59,George King,George King_2018
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60,Kostas Antetokounmpo,Kostas Antetokounmpo_2018
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1,Markelle Fultz,Markelle Fultz_2017
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2,Lonzo Ball,Lonzo Ball_2017
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3,Jayson Tatum,Jayson Tatum_2017
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4,Josh Jackson,Josh Jackson_2017
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5,De'Aaron Fox,De'Aaron Fox_2017
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6,Jonathan Isaac,Jonathan Isaac_2017
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7,Lauri Markkanen,Lauri Markkanen_2017
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8,Frank Ntilikina,Frank Ntilikina_2017
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9,Dennis Smith Jr,Dennis Smith Jr_2017
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10,Zach Collins,Zach Collins_2017
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11,Malik Monk,Malik Monk_2017
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12,Luke Kennard,Luke Kennard_2017
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13,Donovan Mitchell,Donovan Mitchell_2017
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14,Bam Adebayo,Bam Adebayo_2017
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15,Justin Jackson,Justin Jackson_2017
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16,Justin Patton,Justin Patton_2017
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17,Dj Wilson,Dj Wilson_2017
T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18,Tj Leaf,Tj Leaf_2017
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19,John Collins,John Collins_2017
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20,Harry Giles Iii,Harry Giles Iii_2017
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21,Terrance Ferguson,Terrance Ferguson_2017
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22,Jarrett Allen,Jarrett Allen_2017
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23,Og Anunoby,Og Anunoby_2017
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24,Tyler Lydon,Tyler Lydon_2017
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25,Anzejs Pasecniks,Anzejs Pasecniks_2017
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26,Caleb Swanigan,Caleb Swanigan_2017
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27,Kyle Kuzma,Kyle Kuzma_2017
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28,Tony Bradley,Tony Bradley_2017
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29,Derrick White,Derrick White_2017
Josh Hart,Utah Jazz,Villanova,2017,1,30,30,Josh Hart,Josh Hart_2017
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31,Frank Jackson,Frank Jackson_2017
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32,Davon Reed,Davon Reed_2017
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33,Wes Iwundu,Wes Iwundu_2017
Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34,Frank Mason Iii,Frank Mason Iii_2017
Ivan Rabb,Orlando Magic,California,2017,2,5,35,Ivan Rabb,Ivan Rabb_2017
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36,Jonah Bolden,Jonah Bolden_2017
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37,Semi Ojeleye,Semi Ojeleye_2017
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38,Jordan Bell,Jordan Bell_2017
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39,Jawun Evans,Jawun Evans_2017
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40,Dwayne Bacon,Dwayne Bacon_2017
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41,Tyler Dorsey,Tyler Dorsey_2017
Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42,Thomas Bryant,Thomas Bryant_2017
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43,Isaiah Hartenstein,Isaiah Hartenstein_2017
Damyean Dotson,New York Knicks,Houston,2017,2,14,44,Damyean Dotson,Damyean Dotson_2017
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45,Dillon Brooks,Dillon Brooks_2017
Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16,46,Sterling Brown,Sterling Brown_2017
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47,Ike Anigbogu,Ike Anigbogu_2017
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48,Sindarius Thornwell,Sindarius Thornwell_2017
Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49,Vlatko Cancar,Vlatko Cancar_2017
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50,Mathias Lessort,Mathias Lessort_2017
Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51,Monte Morris,Monte Morris_2017
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52,Edmond Sumner,Edmond Sumner_2017
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53,Kadeem Allen,Kadeem Allen_2017
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24,54,Alec Peters,Alec Peters_2017
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55,Nigel Williams-Goss,Nigel Williams-Goss_2017
Jabari Bird,Boston Celtics,California,2017,2,26,56,Jabari Bird,Jabari Bird_2017
Aleksandar Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57,Aleksandar Vezenkov,Aleksandar Vezenkov_2017
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58,Ognjen Jaramaz,Ognjen Jaramaz_2017
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59,Jaron Blossomgame,Jaron Blossomgame_2017
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60,Alpha Kaba,Alpha Kaba_2017
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1,Ben Simmons,Ben Simmons_2016
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2,Brandon Ingram,Brandon Ingram_2016
Jaylen Brown,Boston Celtics,California,2016,1,3,3,Jaylen Brown,Jaylen Brown_2016
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4,Dragan Bender,Dragan Bender_2016
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5,Kris Dunn,Kris Dunn_2016
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6,Buddy Hield,Buddy Hield_2016
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7,Jamal Murray,Jamal Murray_2016
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8,Marquese Chriss,Marquese Chriss_2016
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9,Jakob Poeltl,Jakob Poeltl_2016
Thon Maker,Milwaukee Bucks,,2016,1,10,10,Thon Maker,Thon Maker_2016
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11,Domantas Sabonis,Domantas Sabonis_2016
