player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Isaiah Blackmon,2016,2020,5,110,13.69,5,False
Drew Crawford,2010,2014,5,143,13.48,5,False
Reid Travis,2015,2019,5,129,13.41,5,False
Myles Taylor,2012,2016,5,116,13.34,5,False
Kevin Foster,2009,2013,5,159,13.3,5,False
Aj Lawson,2017,2021,5,143,12.8,5,False
Dejuan Clayton,2017,2021,5,114,12.77,5,False
Derrick Williams,2010,2014,5,148,12.71,5,False
Romone Saunders,2015,2019,5,106,12.61,5,False
Raiquan Clark,2016,2020,5,128,12.36,5,False
Tim Frazier,2010,2014,5,135,12.25,5,False
Grant Golden,2017,2021,5,123,12.17,5,False
Brandon Fortenberry,2009,2013,5,109,12.15,5,False
Jailyn Ingram,2017,2021,5,108,12.06,5,False
David Walker,2013,2021,5,135,12.03,9,False
Asante Gist,2017,2021,5,99,12.0,5,False
Ec Matthews,2014,2018,5,126,11.92,5,False
Jarred Dubois,2009,2013,5,122,11.89,5,False
Quincy Ford,2012,2016,5,129,11.86,5,False
Jalen Adams,2015,2019,5,137,11.68,5,False
Justin Drummond,2009,2015,5,149,11.66,7,False
Kj Feagin,2016,2020,5,111,11.54,5,False
Anthony Campbell,2009,2013,5,108,11.3,5,False
David Collins,2009,2021,5,150,11.28,13,False
Jalen Hayes,2014,2018,5,128,11.26,5,False
Julius Brown,2009,2015,5,132,11.23,7,False
Caleb Homesley,2016,2020,5,131,11.22,5,False
Ryan Sypkens,2010,2014,5,119,11.14,5,False
Reginald Gee,2017,2021,5,114,11.13,5,False
Jordan Bohannon,2017,2021,5,143,11.08,5,False
Frankie Sullivan,2009,2013,5,132,11.06,5,False
Jeremy Combs,2015,2019,5,113,11.05,5,False
Haanif Cheatham,2016,2020,5,111,11.01,5,False
Casey Jones,2013,2017,5,109,10.97,5,False
Chris Thomas,2014,2018,5,157,10.95,5,False
Brandon Boyd,2016,2020,5,116,10.94,5,False
Anton Grady,2012,2016,5,128,10.89,5,False
Caleb Martin,2015,2019,5,144,10.87,5,False
Cedric Hankerson,2014,2018,5,120,10.87,5,False
Christen Cunningham,2015,2019,5,138,10.79,5,False
Eli Carter,2012,2016,5,122,10.78,5,False
John Carroll,2015,2019,5,118,10.76,5,False
