,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,player_clean
7747,A.J. Holland,Rice,CUSA,25,25.0,71.1,13.5,33.0,37.51,0.0,10.4,22.0,36.2,9,14,0.643,4,20,0.2,7,24,0.292,1.2,3.5,31.8,Fr,2-Jun,22,-0.844929,64.2809,3.3,2010,12023,all,,1.39999998,2.0,7.0,2.0,13.0,0.2857,0.1538,0.0,0.0,,,101.63,100.371,1.09184,57.3843,-4.29607,-4.9662,0.670125,-3.71398,12.04,-5.17322,1.45924,0.0,1.04,1.04,1.4,0.72,0.12,1.52,Scoring PG,4.69386,aj holland
42415,A.J. Jacobson,North Dakota St.,Sum,29,66.0,122.4,15.9,59.9,64.14,1.4,16.4,11.3,12.4,50,56,0.893,34,70,0.486,52,117,0.444,1.4,0.8,29.9,Sr,6-Jun,21,2.41464,113.803,3.0,2018,35892,all,,1.88883614,23.0,38.0,10.0,29.0,0.6053,0.3448,0.0,0.0,,,106.611,105.456,2.19814,132.021,1.85032,1.74273,0.107591,3.03695,25.8125,2.58436,0.45259,0.3125,3.75,4.0625,1.5938,0.4062,0.3438,9.4688,Wing G,8.90207,aj jacobson
34808,A.J. John,Pepperdine,WCC,30,27.6,76.4,12.9,38.2,43.27,5.8,17.3,2.5,29.8,13,18,0.722,21,51,0.412,0,4,0.0,3.9,1.2,32.7,So,8-Jun,25,-0.740653,68.2505,6.9,2016,36773,all,,0.21742533,15.0,30.0,6.0,21.0,0.5,0.2857,2.0,2.0,1.0,,102.609,99.4,1.17025,66.544,-3.7841,-5.64759,1.86349,-5.61385,11.6,-6.83016,1.21632,0.6,1.8,2.4,0.1667,0.2333,0.4333,1.8333,C,0.669133,aj john
22252,A.J. Jones,Southeast Missouri St.,OVC,31,49.6,94.3,24.5,49.5,51.6,6.4,10.8,15.2,21.9,41,66,0.621,67,148,0.453,24,60,0.4,1.4,1.6,31.7,Jr,4-Jun,2,0.783983,95.2826,5.0,2013,27550,all,,0.82454996,44.0,70.0,23.0,78.0,0.6286,0.2949,3.0,5.0,0.6,,106.041,109.075,1.15949,104.36,-3.25387,-1.1385,-2.11537,-4.17846,19.9355,-1.76445,-2.41401,1.0645,2.1613,3.2258,1.5161,0.5484,0.2903,7.9677,Wing G,5.65948,aj jones
24111,A.J. Kemp,Rhode Island,A10,7,0.6,51.3,23.4,0.0,25.64,16.9,31.8,0.0,35.8,1,2,0.5,0,1,0.0,0,0,0.0,0.0,0.0,200.0,Sr,2-Jun,15,-0.125361,51.5563,0.0,2014,21757,all,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,98.3159,101.993,0.0960854,1.37082,-22.5844,-15.3778,-7.20658,-11.589,1.0,-7.85495,-3.7341,0.1429,0.2857,0.4286,0.0,0.0,0.0,0.1429,PF/C,0.0,aj kemp
62453,A.J. Labriola,St. Francis PA,NEC,5,0.9,0.0,0.0,0.0,0.0,0.0,14.4,20.6,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Sr,2-Jun,23,-0.513842,-7.29496,0.0,2022,67665,all,,,,,,,,,,,,,108.74,106.757,0.113807,1.17616,-7.33664,-4.73259,-2.60405,-5.86217,1.6,-4.36005,-1.50213,0.0,0.2,0.2,0.2,0.0,0.0,0.0,PF/C,0.0,aj labriola
42651,A.J. Lapray,Rice,CUSA,9,14.6,102.9,19.7,61.7,62.01,2.5,12.5,8.6,22.1,1,1,1.0,7,16,0.438,20,44,0.455,0.0,2.4,1.7,Sr,5-Jun,2,0.937626,101.669,4.0,2018,37560,all,38.2,0.53333334,2.0,5.0,5.0,11.0,0.4,0.4545,0.0,0.0,,,107.799,108.809,1.36075,31.5228,-1.1278,0.301354,-1.42915,0.50601,20.8,0.78438,-0.27837,0.4,2.9,3.3,0.8,1.0,0.0,9.1,Wing G,14.734,aj lapray
61192,A.J. Lawson,Texas Southern,SWAC,17,73.3,91.4,26.0,47.8,49.64,5.3,14.9,33.9,27.7,37,66,0.561,58,122,0.475,11,34,0.324,0.4,1.4,42.3,Sr,5-Jun,12,0.763146,92.3367,3.4,2022,48780,all,10.2,1.6363881,46.0,84.0,12.0,38.0,0.5476,0.3158,1.0,1.0,1.0,,110.127,117.099,1.09461,92.79,-4.95289,-2.30554,-2.64736,-5.37162,29.1304,-2.02898,-3.34264,1.3478,3.7826,5.1304,5.4783,0.8696,0.1304,11.7826,Scoring PG,3.60283,aj lawson
36767,A.J. Lynch,North Carolina Central,MEAC,6,5.9,50.4,22.3,17.5,25.21,3.2,6.6,8.0,30.7,5,8,0.625,2,8,0.25,1,12,0.083,1.7,3.5,40.0,Jr,3-Jun,2,-1.44764,50.6803,1.7,2016,43341,all,,0.37500938,1.0,4.0,1.0,4.0,0.25,0.25,0.0,0.0,,,103.41,106.272,0.905256,12.7379,-10.8192,-9.84053,-0.978626,-9.84603,11.5,-7.41781,-2.42822,0.3333,0.6667,1.0,0.5,0.6667,0.1667,2.0,Combo G,10.341,aj lynch
64744,A.J. McGinnis,Cincinnati,Amer,28,35.2,104.1,18.5,51.6,51.95,0.9,8.1,5.7,12.4,8,14,0.571,19,34,0.559,41,122,0.336,0.3,1.6,9.0,So,3-Jun,2,0.807449,100.691,2.6,2022,73621,all,,0.76478339,8.0,16.0,11.0,18.0,0.5,0.6111,0.0,0.0,,,100.347,100.253,1.41257,68.4753,-1.60788,0.155772,-1.76366,-0.375777,15.1429,0.00319794,-0.378975,0.1429,1.0714,1.2143,0.4643,0.4286,0.0357,6.0357,Combo G,16.3947,aj mcginnis
55021,A.J. McNeil,Iona,MAAC,2,0.8,11.8,33.7,0.0,0.0,14.2,12.1,0.0,38.4,0,0,0.0,0,4,0.0,0,0,0.0,25.3,6.5,0.0,Jr,2-Jun,1.0,-1.2296,6.59622,4.4,2020,70812,all,,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,81.9089,92.9049,0.537721,3.06325,-18.266,-28.0552,9.78924,-18.2146,4.5,-18.6129,0.398354,0.5,0.5,1.0,0.0,0.5,1.0,0.0,PF/C,0.0,aj mcneil
37396,A.J. Merriweather,East Tennessee St.,SC,33,58.7,107.0,18.4,58.1,61.94,5.3,12.3,11.9,24.6,65,86,0.756,69,129,0.535,26,57,0.456,0.3,3.9,46.2,Sr,2-Jun,13,1.33396,103.299,4.1,2017,29439,all,,0.81541111,46.0,78.0,23.0,51.0,0.5897,0.451,12.0,15.0,0.8,,95.6268,94.751,2.78629,164.834,3.54914,1.32928,2.21985,2.81209,23.6,0.105561,2.70653,1.0286,2.5714,3.6,1.5143,1.6,0.0571,8.5714,Combo G,4.0223,aj merriweather
26715,A.J. Metz,Maryland,ACC,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Fr,5-Jun,33,-0.329458,-7.26108,0.0,2014,31581,all,,,,,,,,,,,,,110.531,115.597,0.0488792,0.0925801,-1.41751,-2.34696,0.929454,-2.10524,1.0,-1.99702,-0.108227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF/C,0.0,aj metz
