"316,Saint Peter's,,,,,,,,,,,,,,,,,,,"
"317,Wyoming,,,,,,,,,,,,,,,,,,,"
"318,Florida A&M,,,,,,,,,,,,,,,,,,,"
"319,Jackson St.,,,,,,,,,,,,,,,,,,,"
"320,Tennessee Tech,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,"
"Rk,Team,,,,,,,,,,,,,,,,,,,"
"321,Central Connecticut,,,,,,,,,,,,,,,,,,,"
"322,UC Riverside,,,,,,,,,,,,,,,,,,,"
"323,Manhattan,,,,,,,,,,,,,,,,,,,"
"324,Mount St. Mary's,,,,,,,,,,,,,,,,,,,"
"325,Stetson,,,,,,,,,,,,,,,,,,,"
"326,Portland,,,,,,,,,,,,,,,,,,,"
"327,Bryant,,,,,,,,,,,,,,,,,,,"
"328,Alabama St.,,,,,,,,,,,,,,,,,,,"
"329,Idaho St.,,,,,,,,,,,,,,,,,,,"
"330,SIU Edwardsville,,,,,,,,,,,,,,,,,,,"
"331,McNeese St.,,,,,,,,,,,,,,,,,,,"
"332,Binghamton,,,,,,,,,,,,,,,,,,,"
"333,Morgan St.,,,,,,,,,,,,,,,,,,,"
"334,Cal Poly,,,,,,,,,,,,,,,,,,,"
"335,Southern,,,,,,,,,,,,,,,,,,,"
"336,USC Upstate,,,,,,,,,,,,,,,,,,,"
"337,South Carolina St.,,,,,,,,,,,,,,,,,,,"
"338,Maine,,,,,,,,,,,,,,,,,,,"
"339,Kennesaw St.,,,,,,,,,,,,,,,,,,,"
"340,Savannah St.,,,,,,,,,,,,,,,,,,,"
"341,Northwestern St.,,,,,,,,,,,,,,,,,,,"
"342,Coppin St.,,,,,,,,,,,,,,,,,,,"
"343,San Jose St.,,,,,,,,,,,,,,,,,,,"
"344,Alabama A&M,,,,,,,,,,,,,,,,,,,"
"345,New Hampshire,,,,,,,,,,,,,,,,,,,"
"346,Incarnate Word,,,,,,,,,,,,,,,,,,,"
"347,UNC Asheville,,,,,,,,,,,,,,,,,,,"
"348,Idaho,,,,,,,,,,,,,,,,,,,"
"349,Alcorn St.,,,,,,,,,,,,,,,,,,,"
"350,Mississippi Valley St.,,,,,,,,,,,,,,,,,,,"
"351,Chicago St.,,,,,,,,,,,,,,,,,,,"
"352,Delaware St.,,,,,,,,,,,,,,,,,,,"
"353,Maryland Eastern Shore,,,,,,,,,,,,,,,,,,,"
